,EFD,MDR,PDR,TFD,a,b,c,lf,pEA
T0,[ 1.95558123  4.36091358],[ 17.43387734   0.81759422],[ 8.22380165  1.48552403],[ 1.79803149  4.40049119],[ 43.40599288   0.34783197],[ 36.13098078   0.33026974],[ 1.11194919  1.27162984],[ 87.77404912   0.18698424],[  1.75276576e+02   4.37858082e-02]
Tm,[  2.07100428e+02   1.46754843e-01],[  5.19931054e+03   7.25746354e-03],[ 116.88617477    0.32960649],[  1.86460280e+02   1.65355388e-01],[  3.24925329e+02   1.25427154e-01],[  2.54488882e+03   1.29036206e-02],[  8.23138653e+02   4.25807167e-02],[  8.12163578e+02   3.94461556e-02],[  4.20833026e+03   9.09213835e-03]
c,[ 2.9558746   0.01299764],[  1.70738520e+01   8.14601474e-06],[  6.77190198e+00   1.65603349e-05],[ 3.72611304  0.0096959 ],[  1.51985071e+01   1.87186275e-05],[  2.39235926e+01   4.06283193e-05],[  9.61471938e+01   5.29538443e-06],[ 12.23109441   0.09937131],[  1.22203877e+02   2.75093999e-05]
tau,[ 35.48581841   0.53120985],[  2.77655605e+01   1.24656634e-03],[  3.00556902e+01   1.57420476e-03],[ 35.16512281   0.59138675],[  1.79012781e+01   2.88370701e-03],[  3.76825245e+01   5.52950557e-03],[  6.85371281e+01   3.13599964e-03],[ 2.60784152  1.71537181],[  1.42110026e+01   4.99621635e-03]
