"","Alpha_2","Name","Station","ICAO","IATA","SYNOP","LAT","LONG","ELEV"
"54","MX","Mexico","   CANCUN           ","MMUN  ","CUN   ","76595 "," 21 01N "," 086 51W ","  10  "
"55","MX","Mexico","   CHETUMAL         ","MMCM  ","CTM   ","76750 "," 18 30N "," 088 20W ","  12  "
"56","MX","Mexico","   CHIHUAHUA INTL A ","MMCU  ","CUU   ","76225 "," 28 42N "," 105 58W ","1372  "
"57","MX","Mexico","   CIUDAD DEL CARM  ","MMCE  ","CME   ","      "," 18 39N "," 091 48W ","   2  "
"58","MX","Mexico","   CIUDAD JUAREZ IN ","MMCS  ","CJS   ","      "," 31 37N "," 106 25W ","1171  "
"59","MX","Mexico","   CHICHEN ITZA YU  ","MMCT  ","MCT   ","      "," 20 38N "," 088 27W ","  28  "
"60","MX","Mexico","   CIUDAD OBREGON   ","MMCN  ","CEN   ","      "," 27 24N "," 109 50W ","  43  "
"61","MX","Mexico","   CIUDAD VICTORIA  ","MMCV  ","CVM   ","76491 "," 23 43N "," 098 58W "," 238  "
"62","MX","Mexico","   COLIMA           ","MMIA  ","IMA   ","76658 "," 19 16N "," 103 34W "," 723  "
"63","MX","Mexico","   COZUMEL (CIV/MIL ","MMCZ  ","CZM   ","76648 "," 20 31N "," 086 55W ","   5  "
"64","MX","Mexico","   CUERNAVACA       ","MMCB  ","CVJ   ","76726 "," 18 50N "," 099 16W ","1560  "
"65","MX","Mexico","   CULIACAN (CITY)  ","MMCL  ","CUL   ","76412 "," 24 46N "," 107 28W ","  39  "
"66","MX","Mexico","   DEL BAJIO/LEON   ","MMLO  ","LEO   ","76752 "," 21 00N "," 101 28W ","1819  "
"67","MX","Mexico","   GUADALAJARA      ","MMGL  ","GDL   ","      "," 20 31N "," 103 19W ","1528  "
"68","MX","Mexico","   GUADALAJARA      ","      ","      ","76612 "," 20 40N "," 103 23W ","1551  "
"69","MX","Mexico","   DURANGO AIRPORT  ","MMDO  ","DGO   ","76423 "," 24 07N "," 104 31W ","1857  "
"70","MX","Mexico","   GUAYMAS INTL ARP ","MMGM  ","GYM   ","      "," 27 57N "," 110 55W ","  20  "
"71","MX","Mexico","   EMPALME          ","      ","      ","76256 "," 27 57N "," 110 46W ","  12  "
"72","MX","Mexico","   HERMOSILLO INTL  ","MMHO  ","HMO   ","76160 "," 29 05N "," 111 03W "," 184  "
"73","MX","Mexico","   ISLA GUADALUPE   ","MMGD  ","GUD   ","76151 "," 29 10N "," 118 19W ","  25  "
