"trait","refs","T0.mean","Tm.mean","c.mean","T0.lower","Tm.lower","c.lower","T0.upper","Tm.upper","c.upper"
"a","Focks_et_al_1993a_JMedEntom, Morin_et_al_2015",13.3454354485985,40.0809546643152,0.000201651276592613,8.27076994913382,40.0000123068076,0.000119530013213116,17.4097390169536,40.2787115191896,0.000279810955890816
"EFD","Yang_et_al_2008_EpidInfect, Beserra_2009",14.5775990413539,34.6103266420408,0.00856460459281665,8.08443423270858,34.0000033698988,0.00378437137185693,20.5968653729123,35.7665317403696,0.0140943970602623
"e2a","Westbrook_Thesis_2010, Rueda_et_al_1990_EntSocAm, Tun-Lin_et_al_2000_MedVetEnto, Kamimura_et_al_2002_JapanSocMedEnt&Zoo, Eisen_et_al_2014",13.557939422052,38.292669758822,-0.00598994385533536,12.559712303765,37.5395127878845,-0.00682135430670173,14.5118732675135,39.0230674324375,-0.0051336829402615
"MDR","Westbrook_Thesis_2010, Couret_et_al_2007_PLOS, Rueda_et_al_1990_EntSocAm, Tun-Lin_et_al_2000_MedVetEnto, Kamimura_et_al_2002_JapanSocMedEnt&Zoo, Eisen_et_al_2014",11.3558277010092,39.1682331047559,7.85888746530913e-05,7.19399111777574,39.0000064796552,5.75207537264765e-05,15.0340606622922,39.5355545170674,9.93113542794551e-05
"lf","Yang_et_al_2008_EpidInfect, Beserra_2009",9.16126986288532,37.7271037386663,-0.147696242336755,6.68970907416517,35.6810848975856,-0.205525241579685,12.3329822742302,39.8893565142067,-0.0976717213035889
"b","Watts_et_al_1987_AJTMH, Alto&Bettinardi_2013_AJTMH, Carrington_et_al_2013_PNTD",17.0461339679949,35.8341993121494,0.000848650139650927,12.5573788092,35.0604531041867,0.00050737369931986,21.2566001504509,36.6932546631245,0.00119920151356508
"c","Watts_et_al_1987_AJTMH, Carrington_et_al_2013_PNTD",12.2245495111307,37.4559906350023,0.000491405764239651,5.61143513560745,35.7013991571431,0.000332512477932541,17.7620330078661,39.2914928527056,0.000640603906585664
"PDR","Davis_1932_AmJEpidemiology, Focks_et_al_1995_AJTMH, Watts_et_al_1987_AJTMH, McLean_et_al_1974_CanJMicobiol, McLeah_et_al_1975_MosquitoNews, Carrington_et_al_2013_PNTD",10.6846372027676,45.8987750313171,6.65293564915722e-05,3.85554165172088,39.730960617469,3.60208655772368e-05,18.3333989171295,52.9240327850482,0.000108833523620993
