"trait","refs","T0.mean","Tm.mean","c.mean","T0.lower","Tm.lower","c.lower","T0.upper","Tm.upper","c.upper"
"a","Delatte_etal_2009_JMedEnto",10.2451455641203,38.3241731844049,0.000192906851368835,5.83916290288005,36.6037614669584,0.00012659095816411,14.8203247827952,40.5116305911827,0.000261486457955362
"TFD","Delatte_etal_2009_JMedEnto, Ezeakacha_Dissertation_2015",8.02181857851459,35.6531451700329,0.0488041177271668,3.18373541529633,35.0009514720234,0.0321273585408261,13.0806315717626,36.5083425259465,0.0671810479670172
"e2a","Delatte_etal_2009_JMedEnto, Westbrook_Thesis_2010, Witwatana_Kittayaong_2006_Med&VetEnt, Teng_Apperson_2000_JMedEnto, Muturi_et_al_2011_JMedEnto",9.04352209866925,39.3256370721312,-0.00360932336429965,6.36731189326108,37.1706751177504,-0.00474203668081039,11.6694224591218,41.6223513091036,-0.00258850544441773
"MDR","Alto_et_al_2001b_JMedEnto, Westbrook_et_al_2010_VecBorn&ZooDis, Witwatana_Kittayaong_2006_Med&VetEnt, Muturi_et_al_2011_JMedEnto, Westbrook_Thesis_2010, Briegel_etal_2001_JMedEnto, Delatte_etal_2009_JMedEnto, Ezeakacha_Dissertation_2015, Calado_Navarro-Silva_2002b_RevSaudaPublica, Yee_et al_2016 JAE_in_review",8.59632498714727,39.655421458739,6.3812495935516e-05,4.43211403351829,37.7763014027116,4.66623766886062e-05,12.2888845579248,41.698871401917,8.22638864390259e-05
"lf","Alto_et_al_2001b, Calado_Navarro-Silva_2002_RevistaBrasileraDeEntomologia, Ezeakacha_Dissertation_2015",13.4111803034557,31.5079407461613,-1.42654317657667,10.5317862131655,29.1361954279571,-2.16404661591249,16.1116064551413,33.5704956079259,-0.688647392398864
"b","Xiao_et_al_2014_Arch Virol",15.8437859208971,36.404806858249,0.000735281995687436,11.4155692544523,36.0003249601295,0.000435995251289839,19.8674910683868,36.9348795507754,0.00104405281419102
"c","Xiao_et_al_2014_Arch Virol",3.61842107802088,36.8246453503085,0.000439180670180053,6.15377220956248e-07,36.0000624088975,0.000329185927767302,9.89880240981662,37.8804543202728,0.0005663414735306
"PDR","Xiao_et_al_2014_Arch Virol",10.3949991468599,43.0540635087192,0.000108706378371057,2.81892727604886,37.5388546435269,5.44584802777704e-05,17.6025613743072,49.5648448952887,0.000175506366011725
